group,group_active,proj,proj_active,proj_topics,group_topics
mediated-matter,True,Water-Based Additive Manufacturing,True,"#architecture,#synthetic biology,#3d printing ","#robotics,#design,#architecture,#art,#bioengineering,#construction,#ecology,#environment,#health,#human-machine interaction,#manufacturing,#music,#storytelling,#synthetic biology,#interfaces,#3d printing ,#computer science,#biomechanics,#mechanical engineering,#biotechnology,#engineering,#prosthetics"
mediated-matter,True,Vespers III,True,"#3d printing ,#design,#art,#3d printing ","#robotics,#design,#architecture,#art,#bioengineering,#construction,#ecology,#environment,#health,#human-machine interaction,#manufacturing,#music,#storytelling,#synthetic biology,#interfaces,#3d printing ,#computer science,#biomechanics,#mechanical engineering,#biotechnology,#engineering,#prosthetics"
molecular-machines,True,DeepPPI,True,,"#artificial intelligence,#bioengineering,#genetics,#politics,#synthetic biology,#machine learning,#bioengineering,#genetics,#synthetic biology,#synthetic biology,#machine learning"
opera-of-the-future,True,Man of My Words,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Cognitarium 2.0,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Freedom Is in the Ear of the Beholder,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Gamma Instrument,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Interneternity,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
civic-media,True,Make the Breast Pump Not Suck Hackathon 2018,True,"#hacking,#health,#public health,#wellbeing","#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
viral-communications,True,NewsClouds,True,,"#design,#human-computer interaction,#artificial intelligence,#augmented reality,#bioengineering,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#economy,#entertainment,#extended intelligence,#government,#health,#human-machine interaction,#networks,#open source,#politics,#privacy,#social media,#systems,#wearable computing,#sensors,#interfaces,#social science,#machine learning,#behavioral science,#affective computing,#blockchain,#archives,#history,#wellbeing,#civic media,#storytelling,#augmented reality,#communications,#networks,#data,#networks,#interfaces,#blockchain,#communications,#networks"
opera-of-the-future,True,Philadelphia Voices,True,"#art,#crowdsourcing,#music,#performance,#design,#art,#crowdsourcing,#crowdsourcing,#music","#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,MM-RT,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Emotionally Intelligent Playback,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,ImmerSound VR,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,City Symphonies: Massive Musical Collaboration,True,"#design,#art,#crowdsourcing,#music,#sensors,#performance,#art,#crowdsourcing,#music,#music,#music","#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
civic-media,True,Going Dark: Collective action in the reddit Blackout,True,,"#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
civic-media,True,Algorithmic Justice League,True,"#computer vision,#artificial intelligence,#civic media,#civic technology,#social science,#ethics,#computer science","#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
civic-media,True,CivilServant: User-Led Randomized Trials Online,True,"#artificial intelligence,#civic media,#civic technology,#data,#social media,#social science","#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
opera-of-the-future,True,Spaces That Perform Themselves,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Tod Machover: Operas 1987-2014,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Fensadense,True,"#design,#art,#music,#performance","#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Sonic Murals,True,"#music,#sensors","#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Aether Muse,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Eternal,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
civic-media,True,Make the Breast Pump Not Suck Hackathon,True,"#civic technology,#consumer electronics,#politics,#interfaces,#makers","#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
civic-media,True,FOLD,True,,"#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
mediated-matter,True,Lichtenberg 3D Printing,True,,"#robotics,#design,#architecture,#art,#bioengineering,#construction,#ecology,#environment,#health,#human-machine interaction,#manufacturing,#music,#storytelling,#synthetic biology,#interfaces,#3d printing ,#computer science,#biomechanics,#mechanical engineering,#biotechnology,#engineering,#prosthetics"
personal-robots,True,Personalized  Interaction for Language Learning,True,"#interfaces,#social science,#social robotics","#robotics,#design,#human-computer interaction,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#data,#food,#health,#human-machine interaction,#kids,#learning,#music,#networks,#neurobiology,#storytelling,#urban planning,#interfaces,#social science,#machine learning,#social robotics,#nonverbal behavior,#long-term interaction ,#language learning,#affective computing,#ethics,#trust,#biomechanics,#biotechnology,#bionics,#robotics,#design,#human-computer interaction,#robotics,#artificial intelligence,#human-machine interaction,#interfaces,#social science,#social robotics,#robotics,#design,#human-machine interaction,#human-computer interaction,#cognition,#open source,#cognition,#consumer electronics,#human-machine interaction,#human-machine interaction,#learning,#interfaces,#artificial intelligence,#social robotics,#long-term interaction ,#robotics,#artificial intelligence,#cognition,#robotics,#kids,#learning,#robotics,#data,#learning"
opera-of-the-future,True,Media Scores,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Hyperscore,True,,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Disembodied Performance,True,"#music,#sensors,#performance,#music,#sensors,#performance","#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
opera-of-the-future,True,Powers Live,True,#music,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
