Theme | CityScope,Luis Alberto Alonso Pastor,Research Assistant
Theme | CityScope,Yan Zhang,Research Assistant
Theme | CityScope,Ronan Doorley,Research Assistant
MultiDIC: a MATLAB Toolbox for Multi-View 3D Digital Image  Correlation,Dana Solav,Postoctoral Fellow
SMART^2 OPAL,Haijing Hao,Visiting Scholar
Public Library Innovation Exchange,Helen Bailey,Affiliate
MultiDIC: a MATLAB Toolbox for Multi-View 3D Digital Image  Correlation,Kevin Mattheus Moerman,Postoctoral Fellow
MultiDIC: a MATLAB Toolbox for Multi-View 3D Digital Image  Correlation,Hugh Herr,Postoctoral Fellow
SMART^2 OPAL,Shada Alsalamah,Visiting Scholar
SMART^2 OPAL,Abdulrahman Alotaibi,Visiting Scholar
SMART^2 OPAL,Jose Balsa Barreiro,Visiting Scholar
SMART^2 OPAL,Alex 'Sandy' Pentland,Visiting Scholar
Public Library Innovation Exchange,Katherine McConachie,Affiliate
Public Library Innovation Exchange,J. Philipp Schmidt,Affiliate
City Science Andorra,Kent Larson,Principal Research Scientist
CityMatrix,Yan Zhang,Research Assistant
Spatial Flux: Body and Architecture in Space,Carson Smuts,Research Scientist
Designing Robots in Mixed Reality,Vik Parthiban,Research Assistant
City Science Andorra,Luis Alberto Alonso Pastor,Principal Research Scientist
City Science Andorra,Michael Lin,Principal Research Scientist
City Science Andorra,Arnaud Grignard,Principal Research Scientist
City Science Andorra,Juanita Devis,Principal Research Scientist
City Science Andorra,Carson Smuts,Principal Research Scientist
City Science Andorra,Ronan Doorley,Principal Research Scientist
City Science Andorra,Yan Zhang,Principal Research Scientist
CityMatrix,Kent Larson,Research Assistant
CityMatrix,Arnaud Grignard,Research Assistant
CityMatrix,Luis Alberto Alonso Pastor,Research Assistant
Spatial Flux: Body and Architecture in Space,Chrisoula Kapelonis,Research Scientist
City Science Lab Toronto,Hossein Rahnama,Visiting Assistant Professor
City Science Andorra,Ariel Noyman,Principal Research Scientist
City Science Andorra,Phil Tinn,Principal Research Scientist
Andorra | Innovation,Kent Larson,Principal Research Scientist
Climate CubeSat Co-building Outreach Program (C3),Ariel Ekblaw,Research Assistant
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Ronan Doorley,Postdoctoral Associate
Masque,Xin Liu,"Arts Curator, Space Exploration Initiative (External Collaborator)"
Andorra | Innovation,Luis Alberto Alonso Pastor,Principal Research Scientist
Andorra | Innovation,Arnaud Grignard,Principal Research Scientist
Andorra | Innovation,Ronan Doorley,Principal Research Scientist
Climate CubeSat Co-building Outreach Program (C3),Katherine McConachie,Research Assistant
Climate CubeSat Co-building Outreach Program (C3),Avery Normandin,Research Assistant
Climate CubeSat Co-building Outreach Program (C3),Devora Najjar,Research Assistant
WorldBeat: Hearing the World Differently,Asma Ghandeharioun,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Adam Haar Horowitz,Research Assistant
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Kent Larson,Postdoctoral Associate
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Arnaud Grignard,Postdoctoral Associate
Dynamic Traffic Prediction in Andorra: a Bayesian Network Approach,Luis Alberto Alonso Pastor,Postdoctoral Associate
Masque,Pattie Maes,"Arts Curator, Space Exploration Initiative (External Collaborator)"
Andorra | Innovation,Carson Smuts,Principal Research Scientist
Andorra | Innovation,Juanita Devis,Principal Research Scientist
Andorra | Innovation,Ariel Noyman,Principal Research Scientist
WorldBeat: Hearing the World Differently,Rosalind W. Picard,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Ishaan Grover,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Pedro Reynolds-Cuellar,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Tomas Vega Galvez,Research Assistant
Dormio: Interfacing with Dreams to Augment Human Creativity,Oscar Rosello,Research Assistant
Words in Motion,Pattie Maes,Professor of Media Technology
Words in Motion,Christian David Vazquez Machado,Professor of Media Technology
Silk Pavilion,Neri Oxman,Associate Professor of Media Arts and Sciences
Silk Pavilion,Jared Laucks,Associate Professor of Media Arts and Sciences
Silk Pavilion,Markus Kayser,Associate Professor of Media Arts and Sciences
Silk Pavilion,Jorge Duro-Royo,Associate Professor of Media Arts and Sciences
Mechatronic Systems,Matthew Carney,Research Assistant
Personalized Machine Learning for Autism Therapy,Ognjen (Oggi) Rudovic,Postdoctoral Fellow
Mechatronic Systems,Emily Rogers ,Research Assistant
Mechatronic Systems,Jiun-Yih Kuan,Research Assistant
Mechatronic Systems,Roman Stolyarov,Research Assistant
Mechatronic Systems,Seong Ho Yeon,Research Assistant
Mechatronic Systems,Ken A. Pasch,Research Assistant
Mechatronic Systems,Tony Shu,Research Assistant
Mechatronic Systems,Matt Weber,Research Assistant
Personalized Machine Learning for Autism Therapy,Rosalind W. Picard,Postdoctoral Fellow
Mediated Atmosphere,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Mediated Atmosphere,Nan Zhao,Alexander W Dreyfoos (1954) Professor
DeepMoji,Iyad Rahwan,Associate Professor of Media Arts and Sciences
Talking Machines: Democratizing the design of voice-based agents for the home,Anastasia Ostrowski,Administrative Assistant
"Future of Work: Automation,  Labor & Cities",Manuel Cebrian,Research Scientist
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Michael Lin,Research Assistant
Mediated Atmosphere,Asaph Azaria,Alexander W Dreyfoos (1954) Professor
Mediated Atmosphere,Robert Richer,Alexander W Dreyfoos (1954) Professor
DeepMoji,Bjarke Felbo,Associate Professor of Media Arts and Sciences
DeepMoji,Nick Obradovich,Associate Professor of Media Arts and Sciences
Talking Machines: Democratizing the design of voice-based agents for the home,Nikhita Singh,Administrative Assistant
Talking Machines: Democratizing the design of voice-based agents for the home,Hae Won Park,Administrative Assistant
Talking Machines: Democratizing the design of voice-based agents for the home,Cynthia Breazeal,Administrative Assistant
"Future of Work: Automation,  Labor & Cities",Morgan Ryan Frank,Research Scientist
"Future of Work: Automation,  Labor & Cities",Iyad Rahwan,Research Scientist
"Future of Work: Automation,  Labor & Cities",Alex Rutherford,Research Scientist
"Future of Work: Automation,  Labor & Cities",Esteban Moro Egido,Research Scientist
"Miniaturized Neural System for Chronic, Local Intracerebral Drug Delivery",Canan Dagdeviren,Assistant Professor of Media Arts and Sciences
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Phil Tinn,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Yago Lizaribar Carrillo,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Lucas Cassiano Pereira Silva,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Jerry Wei Hua Yao,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Chang-Qi Zhang,Research Assistant
Human-Machine Cooperation (HMC) for Lightweight Autonomous Robots,Yi-Cheng Jiang,Research Assistant
Large User Interface with Gesture and Voice Feedback,Vik Parthiban,Research Assistant
Tools to Investigate Societal Impacts of Robot and AI,Anastasia Ostrowski,Administrative Assistant
Learning to dance  in VR,Misha Sra,Research Affiliate
Atmopragmascope,Everett Lawson,Research Assistant
Persuasive Electric Vehicle (PEV),Abhishek Agarwal,Research Assistant
Tools to Investigate Societal Impacts of Robot and AI,Hae Won Park,Administrative Assistant
Tools to Investigate Societal Impacts of Robot and AI,Cynthia Breazeal,Administrative Assistant
Persuasive Electric Vehicle (PEV),Yi-Cheng Jiang,Research Assistant
Persuasive Electric Vehicle (PEV),Tai-Yu Chen,Research Assistant
Persuasive Electric Vehicle (PEV),Inigo Martinez Lopez,Research Assistant
Persuasive Electric Vehicle (PEV),Chang-Qi Zhang,Research Assistant
Persuasive Electric Vehicle (PEV),Kent Larson,Research Assistant
Persuasive Electric Vehicle (PEV),Michael Lin,Research Assistant
Persuasive Electric Vehicle (PEV),Phil Tinn,Research Assistant
BreathVR,Misha Sra,Research Affiliate
BreathVR,Pattie Maes,Research Affiliate
BreathVR,Xuhai Xu,Research Affiliate
A VR Collaboration Interface Using Galvanic Vestibular Stimulation,Misha Sra,Research Affiliate
A VR Collaboration Interface Using Galvanic Vestibular Stimulation,Xuhai Xu,Research Affiliate
A VR Collaboration Interface Using Galvanic Vestibular Stimulation,Pattie Maes,Research Affiliate
Blockchain: A New Framework for Robotic Swarm Systems,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
Blockchain: A New Framework for Robotic Swarm Systems,Eduardo Castello Ferrer,Professor of Media Arts and Sciences
Preschool-Oriented Programming Toolkit,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Preschool-Oriented Programming Toolkit,Randi Williams,Associate Professor of Media Arts and Sciences
Personalized Machine Learning for Future Health,Ognjen (Oggi) Rudovic,Postdoctoral Fellow
Personalized Machine Learning for Future Health,Rosalind W. Picard,Postdoctoral Fellow
Cosmetic Light,Nina Lutz,Research Assistant
Agonist-antagonist Myoneural Interface (AMI),Hugh Herr,Professor of Media Arts and Sciences
Cosmetic Light,Vik Parthiban,Research Assistant
Agonist-antagonist Myoneural Interface (AMI),Tyler Clites,Professor of Media Arts and Sciences
Agonist-antagonist Myoneural Interface (AMI),Matthew Carty,Professor of Media Arts and Sciences
Agonist-antagonist Myoneural Interface (AMI),Shriya Srinivasan,Professor of Media Arts and Sciences
Effect of a Powered Ankle on Shock Absorption and Interfacial Pressure,David Hill,Research Assistant
Amphibian: Terrestrial SCUBA Diving Simulator Using Virtual Reality,Dhruv Jain,Research Assistant
TESSERAE: Self-Assembling Space Architecture,Ariel Ekblaw,Research Assistant
Biplanar Fluoroscopy Gait Analysis,David Hill,Research Assistant
Agonist-antagonist Myoneural Interface (AMI),Lisa Freed,Professor of Media Arts and Sciences
Effect of a Powered Ankle on Shock Absorption and Interfacial Pressure,Hugh Herr,Research Assistant
Council on Extended Intelligence,Joi Ito,Director
Amphibian: Terrestrial SCUBA Diving Simulator Using Virtual Reality,Chris Schmandt,Research Assistant
"City as Classroom, City as Laboratory",Avery Normandin,Research Assistant
Biplanar Fluoroscopy Gait Analysis,Kevin Mattheus Moerman,Research Assistant
Biplanar Fluoroscopy Gait Analysis,Dana Solav,Research Assistant
Biplanar Fluoroscopy Gait Analysis,Hugh Herr,Research Assistant
Council on Extended Intelligence,Tenzin Priyadarshi,Director
Council on Extended Intelligence,Danielle Wood,Director
Council on Extended Intelligence,Martha Minow,Director
Council on Extended Intelligence,Kade Crockford,Director
Council on Extended Intelligence,Lawrence Lessig,Director
Council on Extended Intelligence,Natalie Saltiel,Director
Council on Extended Intelligence,Neri Oxman,Director
Council on Extended Intelligence,Rosalind W. Picard,Director
Council on Extended Intelligence,Karthik Dinakar,Director
Council on Extended Intelligence,Chelsea Barabas,Director
Council on Extended Intelligence,Joy Buolamwini,Director
Council on Extended Intelligence,Cesar A. Hidalgo,Director
3D Neuromuscular Model of the Human Ankle-Foot Complex,David Hill,Research Assistant
"City as Classroom, City as Laboratory",Devora Najjar,Research Assistant
Cognitive Illusions and VR,Misha Sra,Research Affiliate
Council on Extended Intelligence,Iyad Rahwan,Director
Council on Extended Intelligence,Andre Uhl,Director
3D Neuromuscular Model of the Human Ankle-Foot Complex,Hugh Herr,Research Assistant
HyperCubes: Learning computational concepts in Augmented Reality,Anna Fuste,Research Assistant
project_title,person,position
Zero-G-ames,Jason Matthew Haas,Research Assistant
Zero-G-ames,Daniel Novy,Research Assistant
Theme | CityScope,Ariel Noyman,Research Assistant
MultiDIC: a MATLAB Toolbox for Multi-View 3D Digital Image  Correlation,Dana Solav,Postoctoral Fellow
Theme | CityScope,Kent Larson,Research Assistant
Theme | CityScope,Arnaud Grignard,Research Assistant
Theme | CityScope,Yasushi Sakai,Research Assistant
Theme | CityScope,Luis Alberto Alonso Pastor,Research Assistant
Theme | CityScope,Yan Zhang,Research Assistant
Theme | CityScope,Ronan Doorley,Research Assistant
MultiDIC: a MATLAB Toolbox for Multi-View 3D Digital Image  Correlation,Kevin Mattheus Moerman,Postoctoral Fellow
MultiDIC: a MATLAB Toolbox for Multi-View 3D Digital Image  Correlation,Hugh Herr,Postoctoral Fellow
Temporal Scales of Human Forgetting,Cristian Esteban Candia Vallejos,Research Assistant
Brainstorm: Anima Mundi,Jeantine Lunshof,Research Scientist/Ethicist
Temporal Scales of Human Forgetting,Cristian Ignacio Jara Figueroa,Research Assistant
Temporal Scales of Human Forgetting,Cesar A. Hidalgo,Research Assistant
Neural Interfaces,Hugh Herr,Professor of Media Arts and Sciences
Personal Food Computer,Caleb Harper,"Director, OpenAg Initiative"
Neural Interfaces,Benjamin Maimon,Professor of Media Arts and Sciences
Neural Interfaces,Tyler Clites,Professor of Media Arts and Sciences
Neural Interfaces,Shriya Srinivasan,Professor of Media Arts and Sciences
Neural Interfaces,Cameron Taylor,Professor of Media Arts and Sciences
Neural Interfaces,Seong Ho Yeon,Professor of Media Arts and Sciences
Neural Interfaces,Ron Riso,Professor of Media Arts and Sciences
Neural Interfaces,Lisa Freed,Professor of Media Arts and Sciences
Personal Food Computer,Babak Babakinejad,"Director, OpenAg Initiative"
Personal Food Computer,Gordon Brander,"Director, OpenAg Initiative"
Personal Food Computer,Hildreth England,"Director, OpenAg Initiative"
Personal Food Computer,Jake Rye,"Director, OpenAg Initiative"
Personal Food Computer,Lauren Hitchings,"Director, OpenAg Initiative"
Personal Food Computer,Tim Savas,"Director, OpenAg Initiative"
Personal Food Computer,Eduardo Castello Ferrer,"Director, OpenAg Initiative"
VoIP Drupal,Ethan Zuckerman,Associate Professor of the Practice in Media Arts and Sciences
Personal Food Computer,Rikuo Hasegawa,"Director, OpenAg Initiative"
Voice as Data,Chris Schmandt,Principal Research Scientist
VoIP Drupal,Leo Burd,Associate Professor of the Practice in Media Arts and Sciences
VoIP Drupal,Rahul Bhargava,Associate Professor of the Practice in Media Arts and Sciences
Mindful Photons: Context-Aware Lighting,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Mindful Photons: Context-Aware Lighting,Nan Zhao,Alexander W Dreyfoos (1954) Professor
Mindful Photons: Context-Aware Lighting,Matthew Aldrich,Alexander W Dreyfoos (1954) Professor
SurroundVision,Santiago Eloy Alfaro,Research Assistant
SurroundVision,V. Michael Bove,Research Assistant
Modulating Peripheral and Cortical Arousal Using a Musical Motor Response Task,Rosalind W. Picard,Professor of Media Arts and Sciences
Modulating Peripheral and Cortical Arousal Using a Musical Motor Response Task,Grace Leslie,Professor of Media Arts and Sciences
Amoetecture,Honghao Deng,Visiting Student
Amoetecture,Poseidon Ho,Visiting Student
Amoetecture,Luis Alberto Alonso Pastor,Visiting Student
Future of batteries and future with better batteries,Barmak Heshmat Dehkordi,Visiting Scientist
DataViva,Cesar A. Hidalgo,Associate Professor of Media Arts and Sciences
Tethered Robotic System for Understanding Human Movements,Hugh Herr,Professor of Media Arts and Sciences
Smartphone spectrometer for food sensing,Ramesh Raskar,Associate Professor of Media Arts and Sciences
Mouseless,Pattie Maes,Professor of Media Technology
Mr. Java,Michael J. Hawley,Research Scientist
Tethered Robotic System for Understanding Human Movements,Ken A. Pasch,Professor of Media Arts and Sciences
Tethered Robotic System for Understanding Human Movements,Jiun-Yih Kuan,Professor of Media Arts and Sciences
Smartphone spectrometer for food sensing,Anshuman Das,Associate Professor of Media Arts and Sciences
Mouseless,Pranav Mistry,Professor of Media Technology
Music Creatures,Tod Machover,Muriel R. Cooper Professor of Music and Media
musicBottles,Hiroshi Ishii,Jerome B. Wiesner Professor of Media Arts and Sciences
"Music, Mind, and Health",Tod Machover,Muriel R. Cooper Professor of Music and Media
musicBottles,Joseph A. Paradiso,Jerome B. Wiesner Professor of Media Arts and Sciences
musicBottles,Richard R. Fletcher,Jerome B. Wiesner Professor of Media Arts and Sciences
Nashik Smart Citizen Collaboration with TCS,Ramesh Raskar,Associate Professor of Media Arts and Sciences
Nashik Smart Citizen Collaboration with TCS,Anshuman Das,Associate Professor of Media Arts and Sciences
Music Visualization via Musical Information Retrieval,Tod Machover,Muriel R. Cooper Professor of Music and Media
Music Visualization via Musical Information Retrieval,Thomas Sanchez Lengeling,Muriel R. Cooper Professor of Music and Media
Navigating in Very Large Display Spaces,Henry A. Lieberman,Visiting Scientist
Neural Models of Mind,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Neural Models of Mind,Marvin L. Minsky,Alexander W Dreyfoos (1954) Professor
NETRA: Smartphone Add-On for Eye Tests,Ramesh Raskar,Associate Professor of Media Arts and Sciences
NETRA: Smartphone Add-On for Eye Tests,Nikhil Naik,Associate Professor of Media Arts and Sciences
Journalism Mapping and Analytics Project (JMAP),Deb Roy,Associate Professor of Media Arts and Sciences
Journalism Mapping and Analytics Project (JMAP),Neo (Mostafa) Mohsenvand,Associate Professor of Media Arts and Sciences
Journalism Mapping and Analytics Project (JMAP),Perng-Hwa Kung,Associate Professor of Media Arts and Sciences
Journalism Mapping and Analytics Project (JMAP),Sophie Chou,Associate Professor of Media Arts and Sciences
LaserWho,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
New Century Cities: Real Estate Value in a Digital World,Susanne Seitinger,Research Affiliate
LaserWho,Judith S. Donath,Alexander W Dreyfoos (1954) Professor
"Language, Word Learning, and the Activity Substrate of Everyday Life",Deb Roy,Associate Professor of Media Arts and Sciences
Traditional Chinese Medicine-Inspired Pulse Analysis,Rosalind W. Picard,Professor of Media Arts and Sciences
New Methods in Time-of-Flight Imaging,Ramesh Raskar,Associate Professor of Media Arts and Sciences
Traditional Chinese Medicine-Inspired Pulse Analysis,Akane Sano,Professor of Media Arts and Sciences
Traditional Chinese Medicine-Inspired Pulse Analysis,Javier Hernandez,Professor of Media Arts and Sciences
Traditional Chinese Medicine-Inspired Pulse Analysis,Weixuan 'Vincent' Chen,Professor of Media Arts and Sciences
New Methods in Time-of-Flight Imaging,Achuta Kadambi,Associate Professor of Media Arts and Sciences
New Methods in Time-of-Flight Imaging,Anshuman Das,Associate Professor of Media Arts and Sciences
New Methods in Time-of-Flight Imaging,Ayush Bhandari,Associate Professor of Media Arts and Sciences
New Methods in Time-of-Flight Imaging,Micha Feigin-Almon,Associate Professor of Media Arts and Sciences
Learning Common Sense in a Second Language,Henry A. Lieberman,Visiting Scientist
Learn to Teach: Teach to Learn,Seymour A. Papert,Professor
Leveraging Leadership Expertise More Effectively in Organizations,Alex 'Sandy' Pentland,Professor of Media Arts and Sciences
Learn to Teach: Teach to Learn,David P. Cavallo,Professor
Leveraging Leadership Expertise More Effectively in Organizations,Dhaval Adjodah,Professor of Media Arts and Sciences
Learning as a Basis for Sustainable Development,David P. Cavallo,Research Scientist
LifeNet: Social Common Sense,Marvin L. Minsky,Professor Emeritus 
LightSwarm,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
LightSwarm,Palash Nandy,Associate Professor of Media Arts and Sciences
Industry space and housing prices,Liaoliao Duan,Research Assistant
Industry space and housing prices,Cesar A. Hidalgo,Research Assistant
Industry space and housing prices,Lijun Sun,Research Assistant
Paper Circuits,Jie Qi,Research Affiliate
Storyboards,Shantell Martin,Research Affiliate
Storyboards,Jonathan Bobrow,Research Affiliate
Storyboards,Nazmus Saquib,Research Affiliate
Wearable as Witness,Chris Csikszentmihályi,Research Affiliate
FiftyNifty,Andrew Lippman,Senior Research Scientist
Wave Alchemy: Perception and Reminiscence of Expressive Moments through Waves,Pattie Maes,Professor of Media Technology
FiftyNifty,Leopold Mebazaa,Senior Research Scientist
FiftyNifty,Penelope Eugenia Webb,Senior Research Scientist
FiftyNifty,Travis Rich,Senior Research Scientist
FiftyNifty,Yasmine (Jasmin) Rubinovitz,Senior Research Scientist
Wave Alchemy: Perception and Reminiscence of Expressive Moments through Waves,Chris Schmandt,Professor of Media Technology
Wave Alchemy: Perception and Reminiscence of Expressive Moments through Waves,Andrew Lippman,Professor of Media Technology
Wave Alchemy: Perception and Reminiscence of Expressive Moments through Waves,Sujoy Kumar Chowdhury,Professor of Media Technology
You Are Here,Sepandar Kamvar,Research Assistant
Pillow-Talk,V. Michael Bove,Principal Research Scientist
Super Cut Notes,Andrew Lippman,Senior Research Scientist
You Are Here,Jia Zhang,Research Assistant
You Are Here,Pranav Ramkrishnan,Research Assistant
You Are Here,Stephen Rife,Research Assistant
Pillow-Talk,Edwina Portocarrero,Principal Research Scientist
Super Cut Notes,Tomer Weller,Senior Research Scientist
Wearable Relational Devices for Stress Monitoring,Rosalind W. Picard,Professor of Media Arts and Sciences
You Are Here,Wesam Manassra,Research Assistant
You Are Here,Yonatan Cohen,Research Assistant
Wearable Badge for Distributed Systems with Multiple Channels of Communication,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Webbed Footnotes,Judith S. Donath,Research Scientist
"Wearable, Wireless Sensor System for Sports Medicine and Interactive Media",Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Bokode: Imperceptible Visual Tags for Camera-Based Interaction from a Distance,Ramesh Raskar,Associate Professor of Media Arts and Sciences
"Wearable, Wireless Sensor System for Sports Medicine and Interactive Media",Michael Lapinski,Alexander W Dreyfoos (1954) Professor
Bokode: Imperceptible Visual Tags for Camera-Based Interaction from a Distance,Nikhil Naik,Associate Professor of Media Arts and Sciences
What Do Facial Expressions Mean?,Rosalind W. Picard,Professor of Media Arts and Sciences
Who Answers Questions on Twitter?,Ethan Zuckerman,Associate Professor of the Practice in Media Arts and Sciences
Who Answers Questions on Twitter?,J Nathan Matias,Associate Professor of the Practice in Media Arts and Sciences
Wireless Finger Gesture Capture with Passive Tag Sensing,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
WildUrban: Shared Spaces Between Wildlife and Citizens ,Jean-Baptiste (JB) Labrune,Research Affiliate
WristQue: A Personal Wristband for Sensing and Smart Infrastructure,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
WristQue: A Personal Wristband for Sensing and Smart Infrastructure,Brian Mayton,Alexander W Dreyfoos (1954) Professor
Wireless Wearable System for Gait Evaluation,Joseph A. Paradiso,Alexander W Dreyfoos (1954) Professor
Workloop Energetics of Muscles and Interactive Loads,Hugh Herr,Professor of Media Arts and Sciences
Youth and Community Connections,Mitchel Resnick,LEGO Papert Professor of Learning Research
Zipperbot: Robotic Continuous Closure for Fabric Edge Joining,Cynthia Breazeal,Associate Professor of Media Arts and Sciences
Workloop Energetics of Muscles and Interactive Loads,Eric Swart,Professor of Media Arts and Sciences
New Learning Materials for Computational Thinking,Sepandar Kamvar,Research Assistant
New Learning Materials for Computational Thinking,Kimberly Smith,Research Assistant
